date,time,market-val,margin,fund-avail,total-asset,profit,commission,account,mode
2020-07-02,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-03,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-06,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-07,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-08,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-09,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-10,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-13,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-14,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-15,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-16,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-17,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-20,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-21,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-22,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-23,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-24,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-27,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-28,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-29,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-30,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-31,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-03,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-04,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-05,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-06,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-07,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-10,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-11,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-12,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-13,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-14,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-17,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-18,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-19,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-20,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-21,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-24,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-25,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-26,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-27,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-28,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-08-31,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-01,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-02,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-03,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-04,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-07,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-08,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-09,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-10,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-11,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-14,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-15,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-16,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-17,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-18,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-21,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-22,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-23,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-24,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-25,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-28,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-29,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-09-30,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-09,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-12,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-13,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-14,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-15,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-16,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-19,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-20,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-10-21,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
