date,time,inst-id,direction,cost-price,last-price,volume,avail-vol,amt,pnl,account
2021-08-24,16:00:00,000019.XSHE.CS,L,6.91,6.86,45800,45800,314188,-2289.999999999992,
2021-08-24,16:00:00,000063.XSHE.CS,L,28.930000000000007,35.04,10900,10900,381936,66598.99999999991,
2021-08-24,16:00:00,600106.XSHG.CS,L,2.61,2.48,121700,121700,301816,-15820.999999999987,
2021-08-25,16:00:00,000019.XSHE.CS,L,6.91,6.93,45800,45800,317394,915.9999999999804,
2021-08-25,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.16,10900,10900,372343.99999999994,57006.99999999989,
2021-08-25,16:00:00,600106.XSHG.CS,L,2.61,2.52,121700,121700,306684,-10952.999999999982,
2021-08-26,16:00:00,000019.XSHE.CS,L,6.91,6.84,45800,45800,313272,-3206.000000000013,
2021-08-26,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.9,10900,10900,369510,54172.99999999991,
2021-08-26,16:00:00,600106.XSHG.CS,L,2.61,2.53,121700,121700,307901,-9736.00000000001,
2021-08-27,16:00:00,000019.XSHE.CS,L,6.91,6.82,45800,45800,312356,-4121.999999999994,
2021-08-27,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.42,10900,10900,375178,59840.99999999994,
2021-08-27,16:00:00,600106.XSHG.CS,L,2.61,2.51,121700,121700,305467,-12170.000000000011,
2021-08-30,16:00:00,000019.XSHE.CS,L,6.91,6.81,45800,45800,311898,-4580.000000000025,
2021-08-30,16:00:00,000063.XSHE.CS,L,28.930000000000007,32.8,10900,10900,357519.99999999994,42182.9999999999,
2021-08-30,16:00:00,600106.XSHG.CS,L,2.61,2.49,121700,121700,303033,-14603.999999999958,
2021-08-31,16:00:00,000019.XSHE.CS,L,6.91,6.76,45800,45800,309608,-6870.000000000016,
2021-08-31,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.2,10900,10900,361880.00000000006,46542.999999999956,
2021-08-31,16:00:00,600106.XSHG.CS,L,2.61,2.55,121700,121700,310335,-7302.000000000006,
2021-09-01,16:00:00,000019.XSHE.CS,L,6.91,6.79,45800,45800,310982,-5496.000000000005,
2021-09-01,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.72,10900,10900,367548,52210.99999999991,
2021-09-01,16:00:00,600106.XSHG.CS,L,2.61,2.63,121700,121700,320071,2434.0000000000023,
2021-09-02,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.15,10900,10900,361335,45997.99999999991,
2021-09-02,16:00:00,600106.XSHG.CS,L,2.61,2.64,121700,121700,321288,3651.0000000000305,
2021-09-02,16:00:00,000019.XSHE.CS,L,6.91,6.9,45800,45800,316020,-457.9999999999902,
2021-09-03,16:00:00,000019.XSHE.CS,L,6.91,6.95,45800,45800,318310,1832.0000000000016,
2021-09-03,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.24,10900,10900,362316,46978.99999999995,
2021-09-03,16:00:00,600106.XSHG.CS,L,2.61,2.62,121700,121700,318854,1217.0000000000282,
2021-09-06,16:00:00,000019.XSHE.CS,L,6.91,6.95,45800,45800,318310,1832.0000000000016,
2021-09-06,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.93,10900,10900,369837,54499.99999999992,
2021-09-06,16:00:00,600106.XSHG.CS,L,2.61,2.63,121700,121700,320071,2434.0000000000023,
2021-09-07,16:00:00,000019.XSHE.CS,L,6.91,7.02,45800,45800,321516,5037.999999999974,
2021-09-07,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.84,10900,10900,368856.00000000006,53518.99999999996,
2021-09-07,16:00:00,600106.XSHG.CS,L,2.61,2.65,121700,121700,322505,4868.000000000005,
2021-09-08,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.64,10900,10900,377576,62238.999999999935,
2021-09-08,16:00:00,600106.XSHG.CS,L,2.61,2.69,121700,121700,327373,9736.00000000001,
2021-09-08,16:00:00,000019.XSHE.CS,L,6.91,7.1,45800,45800,325180,8701.999999999976,
2021-09-09,16:00:00,000019.XSHE.CS,L,6.91,7.13,45800,45800,326554,10075.999999999989,
2021-09-09,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.65,10900,10900,377685,62347.99999999991,
2021-09-09,16:00:00,600106.XSHG.CS,L,2.61,2.79,121700,121700,339543,21906.00000000002,
2021-09-10,16:00:00,000019.XSHE.CS,L,6.91,7.07,45800,45800,323806,7328.000000000006,
2021-09-10,16:00:00,000063.XSHE.CS,L,28.930000000000007,35.19,10900,10900,383571,68233.9999999999,
2021-09-10,16:00:00,600106.XSHG.CS,L,2.61,2.81,121700,121700,341977,24340.000000000022,
2021-09-13,16:00:00,000019.XSHE.CS,L,6.91,7.11,45800,45800,325638,9160.000000000007,
2021-09-13,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.18,10900,10900,372562,57224.99999999992,
2021-09-13,16:00:00,600106.XSHG.CS,L,2.61,2.87,121700,121700,349279,31642.00000000003,
2021-09-14,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.5,10900,10900,365150,49812.99999999993,
2021-09-14,16:00:00,600106.XSHG.CS,L,2.61,2.8,121700,121700,340760,23122.999999999993,
2021-09-14,16:00:00,000019.XSHE.CS,L,6.91,6.98,45800,45800,319684,3206.000000000013,
2021-09-15,16:00:00,000019.XSHE.CS,L,6.91,7.04,45800,45800,322432,5953.999999999995,
2021-09-15,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.79,10900,10900,368311,52973.99999999992,
2021-09-15,16:00:00,600106.XSHG.CS,L,2.61,2.84,121700,121700,345628,27990.999999999996,
2021-09-16,16:00:00,000019.XSHE.CS,L,6.91,7.1,45800,45800,325180,8701.999999999976,
2021-09-16,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.93,10900,10900,369837,54499.99999999992,
2021-09-16,16:00:00,600106.XSHG.CS,L,2.61,2.8,121700,121700,340760,23122.999999999993,
2021-09-17,16:00:00,000019.XSHE.CS,L,6.91,7.05,45800,45800,322890,6411.999999999985,
2021-09-17,16:00:00,000063.XSHE.CS,L,28.930000000000007,34,10900,10900,370600,55262.99999999993,
2021-09-17,16:00:00,600106.XSHG.CS,L,2.61,2.77,121700,121700,337109,19472.00000000002,
2021-09-22,16:00:00,000019.XSHE.CS,L,6.91,6.91,45800,45800,316478,0,
2021-09-22,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.8,10900,10900,368419.99999999994,53082.9999999999,
2021-09-22,16:00:00,600106.XSHG.CS,L,2.61,2.84,121700,121700,345628,27990.999999999996,
2021-09-23,16:00:00,000019.XSHE.CS,L,6.91,7.01,45800,45800,321058,4579.999999999984,
2021-09-23,16:00:00,000063.XSHE.CS,L,28.930000000000007,35.03,10900,10900,381827,66489.99999999994,
2021-09-23,16:00:00,600106.XSHG.CS,L,2.61,2.85,121700,121700,346845,29208.000000000025,
2021-09-24,16:00:00,000019.XSHE.CS,L,6.91,7.01,45800,45800,321058,4579.999999999984,
2021-09-24,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.47,10900,10900,375723,60385.99999999991,
2021-09-24,16:00:00,600106.XSHG.CS,L,2.61,2.77,121700,121700,337109,19472.00000000002,
2021-09-27,16:00:00,000019.XSHE.CS,L,6.91,6.91,45800,45800,316478,0,
2021-09-27,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.66,10900,10900,377793.99999999994,62456.99999999989,
2021-09-27,16:00:00,600106.XSHG.CS,L,2.61,2.7,121700,121700,328590,10953.000000000036,
2021-09-28,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.2,10900,10900,372780.00000000006,57442.999999999956,
2021-09-28,16:00:00,600106.XSHG.CS,L,2.61,2.76,121700,121700,335892,18254.99999999999,
2021-09-28,16:00:00,000019.XSHE.CS,L,6.91,6.89,45800,45800,315562,-916.0000000000211,
2021-09-29,16:00:00,000019.XSHE.CS,L,6.91,6.81,45800,45800,311898,-4580.000000000025,
2021-09-29,16:00:00,000063.XSHE.CS,L,28.930000000000007,32.65,10900,10900,355885,40547.99999999991,
2021-09-29,16:00:00,600106.XSHG.CS,L,2.61,2.72,121700,121700,331024,13387.000000000038,
2021-09-30,16:00:00,600106.XSHG.CS,L,2.61,2.71,121700,121700,329807,12170.000000000011,
2021-09-30,16:00:00,000019.XSHE.CS,L,6.91,6.84,45800,45800,313272,-3206.000000000013,
2021-09-30,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.13,10900,10900,361117,45779.999999999956,
2021-10-08,16:00:00,000019.XSHE.CS,L,6.91,7.15,45800,45800,327470,10992.00000000001,
2021-10-08,16:00:00,000063.XSHE.CS,L,28.930000000000007,33.86,10900,10900,369074,53736.99999999992,
2021-10-08,16:00:00,600106.XSHG.CS,L,2.61,2.77,121700,121700,337109,19472.00000000002,
2021-10-11,16:00:00,000019.XSHE.CS,L,6.91,7.21,45800,45800,330218,13739.999999999993,
2021-10-11,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.6,10900,10900,377140,61802.99999999994,
2021-10-11,16:00:00,600106.XSHG.CS,L,2.61,2.77,121700,121700,337109,19472.00000000002,
2021-10-12,16:00:00,000019.XSHE.CS,L,6.91,7.2,45800,45800,329760,13282.000000000002,
2021-10-12,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.4,10900,10900,374960,59622.99999999991,
2021-10-12,16:00:00,600106.XSHG.CS,L,2.61,2.71,121700,121700,329807,12170.000000000011,
2021-10-13,16:00:00,000019.XSHE.CS,L,6.91,7.13,45800,45800,326554,10075.999999999989,
2021-10-13,16:00:00,000063.XSHE.CS,L,28.930000000000007,34.89,10900,10900,380301,64963.999999999935,
